epoch,loss,MAE,F-beta
001,3.666,0.261,0.758
002,1.850,0.117,0.829
003,1.292,0.096,0.833
004,1.072,0.062,0.853
005,0.948,0.058,0.857
006,0.880,0.050,0.859
007,0.831,0.049,0.857
008,0.795,0.049,0.864
009,0.764,0.050,0.862
010,0.728,0.046,0.869
011,0.696,0.046,0.859
012,0.671,0.047,0.865
013,0.672,0.048,0.867
014,0.665,0.043,0.870
015,0.636,0.047,0.871
016,0.626,0.042,0.871
017,0.615,0.044,0.874
018,0.594,0.040,0.867
019,0.577,0.042,0.877
020,0.583,0.044,0.876
021,0.561,0.040,0.868
022,0.563,0.042,0.872
023,0.544,0.041,0.874
024,0.539,0.042,0.872
025,0.545,0.041,0.875
026,0.555,0.040,0.883
027,0.531,0.039,0.883
028,0.511,0.042,0.879
029,0.517,0.045,0.875
030,0.506,0.041,0.878
031,0.517,0.041,0.881
032,0.501,0.040,0.882
033,0.496,0.039,0.883
034,0.488,0.040,0.881
035,0.481,0.041,0.880
036,0.484,0.039,0.880
037,0.479,0.039,0.883
038,0.485,0.040,0.883
039,0.473,0.040,0.881
040,0.469,0.039,0.883
041,0.461,0.038,0.885
042,0.454,0.038,0.884
043,0.456,0.038,0.884
044,0.457,0.038,0.885
045,0.445,0.038,0.883
046,0.443,0.038,0.883
047,0.444,0.039,0.883
048,0.439,0.039,0.882
049,0.439,0.039,0.882
050,0.435,0.039,0.882
051,0.437,0.039,0.883
052,0.429,0.039,0.883
053,0.430,0.039,0.883
054,0.419,0.039,0.883
055,0.424,0.039,0.884
056,0.418,0.039,0.884
057,0.414,0.038,0.884
058,0.418,0.038,0.884
059,0.410,0.038,0.884
060,0.416,0.038,0.884
061,0.411,0.038,0.885
062,0.408,0.038,0.885
063,0.408,0.038,0.885
064,0.404,0.038,0.885
065,0.405,0.038,0.886
066,0.399,0.038,0.886
067,0.403,0.038,0.886
068,0.400,0.038,0.886
069,0.398,0.039,0.886
070,0.393,0.039,0.885
071,0.398,0.039,0.885
072,0.393,0.039,0.885
073,0.389,0.039,0.885
074,0.392,0.039,0.885
075,0.389,0.039,0.885
076,0.385,0.039,0.886
077,0.389,0.039,0.886
078,0.386,0.039,0.886
079,0.388,0.039,0.885
080,0.385,0.039,0.885
081,0.384,0.039,0.885
082,0.383,0.039,0.885
083,0.380,0.039,0.885
084,0.384,0.039,0.885
085,0.383,0.039,0.885
086,0.386,0.039,0.884
087,0.383,0.039,0.884
088,0.382,0.039,0.884
089,0.381,0.039,0.884
090,0.382,0.039,0.884
